date,tweet_id,text,year
2019-12-31 22:48:04+00:00,1212143411630759936,Click on the link to get a great deal on this NARS blush!  #makeup #blush #TuesdayThoughts #NewYears #NewYearChallenge #Poshmark #deals #NARS https://t.co/LI8ScTbtbd,2019
2019-12-31 22:25:48+00:00,1212137806987960320,"Sometimes the light is just right. I'm wearing @fentybeauty Pro Filt'r Hydrating Longwear Foundation, @NARSCosmetics blush in Orgasm and @patmcgrathreal BlitzTrance lipstick in Love Train. #beauty #cosmetics #makeup #motd #fotd #patmcgrath #fentybeauty #nars https://t.co/b2lPUCq7ON",2019
2019-12-31 21:34:52+00:00,1212124990360805377,Check out what I just added to my closet on Poshmark: NARS Sun blush. https://t.co/MClOZEWmgA via @poshmarkapp #shopmycloset,2019
2019-12-31 21:27:27+00:00,1212123124310794240,Check out what I just added to my closet on Poshmark: NARS- Blush in Torrid. https://t.co/fbjJlAJYiv via @poshmarkapp #shopmycloset,2019
2019-12-31 21:08:06+00:00,1212118254103121920,Check out what I just added to my closet on Poshmark: NARS Blush in Outlaw. https://t.co/7DI92ESqNx via @poshmarkapp #shopmycloset,2019
2019-12-31 21:06:43+00:00,1212117905648709632,Check out what I just added to my closet on Poshmark: NARS Blush in Taos. https://t.co/sNk8DLg8mZ via @poshmarkapp #shopmycloset,2019
2019-12-31 21:05:25+00:00,1212117579382214656,Check out what I just added to my closet on Poshmark: NARS Blush in Amour. https://t.co/bDKIZbjwvc via @poshmarkapp #shopmycloset,2019
2019-12-31 19:58:15+00:00,1212100677385826304,Okay. So I found the ABH Rivera palette for $25.00 regular $45. Found these Nars and ABH liquid lipsticks for $7.99 each. Normally around $25 for each &amp; this ABH Blush palette for $14.99.. All of this was $67 and some change. 🙌🏾🙌🏾 All from Marshalls. https://t.co/8INPi297hz https://t.co/ygFZmQb2AI,2019
2019-12-31 13:00:15+00:00,1211995480621830144,https://t.co/lBA9s1vgd6 - Nars Blush- Nude Scene Collection - - Add your ads on: https://t.co/KTFpZpUnkd https://t.co/DUsurLqmsR,2019
2019-12-31 10:28:18+00:00,1211957245061169153,"Eye: Chique Cosmetics Le Macaroons Palette
Blush: Nars Orgasm
Lips: Kamelia Melody + Mermaid Tears",2019
2019-12-31 09:30:10+00:00,1211942614540242944,"#NARS Studio 54 Past Curfew Soft Core Mini Blush &amp; Balm Set | Holiday 2019 

690฿

💋Torrid - coral with shimmer .
💋Dolce Vita - dusty rose .
💋Orgasm - peachy pink with shimmer

This Set Contains: ..
Blush 3.5g &amp; Afterglow Lip Balm 1.1g https://t.co/bMMejPtfE1",2019
2019-12-31 03:48:35+00:00,1211856652066082816,@naturallychic_ They NARS blush is everything,2019
2019-12-30 23:20:01+00:00,1211789065814560768,@skoolgrlq NARS has the best blush,2019
2019-12-30 22:02:24+00:00,1211769530575413249,i never bothered with nars orgasm blush until it came in rose gold packaging and best believe i snapped that shit up,2019
2019-12-30 20:52:27+00:00,1211751927647739904,I have been using the same blush for 10 years NARS - Lovejoy,2019
2019-12-30 20:20:17+00:00,1211743833559580673,Nars “orgasm” blush makes my dick hard,2019
2019-12-30 06:22:21+00:00,1211532959456604162,"@beyondreasdoubt NARS blush (thank me later), Hula bronzer, and Becca highlighter!!!!!!!!!!!",2019
2019-12-30 02:37:08+00:00,1211476283546189824,"@SimplySahar NARS Orgasm, any Tarte Amazonian clay blushes, Patrick Ta, ABH Blush trios, the Sephora Collection blushes, NYX has good blush palettes, and i also like using the Fenty Beauty matchsticks for cream blush ! ... I LOVE BLUSH 💕😂",2019
2019-12-30 01:05:40+00:00,1211453262001561604,Porsha shopping for some NARS Orgasm blush? #RHOA,2019
2019-12-29 20:36:30+00:00,1211385525082439680,"Save or Splurge? NARS Blush Review with swatches, #ontheblog .https://t.co/r5tOCjOPCz #beauty #girlboss #makeup https://t.co/xEChGGyPUt",2019
2019-12-29 20:26:01+00:00,1211382885716037632,@iscythea I think the popularity of nars' orgasm blush made stuff like that boom lol,2019
2019-12-29 00:13:06+00:00,1211077646974693376,"My basic makeup is:

Milk foundation and concealer bc I'm a kitten and kittens always get milk

Maybelline angel push up mascara bc I'm an angel

And NARS orgasm blush bc I am a slut",2019
2019-12-28 18:40:19+00:00,1210993899516416000,@xovilx_ I'm in love with the tooface concealer and NARS orgasm blush. It's a great combination,2019
2019-12-28 16:35:41+00:00,1210962536469876743,"#swatchbymk #nars #narsissist #cheekpalette #swatch #blush
.
.
.

A limited-edition cheek palette featuring brand new shades of blushes and gel-to-powder highlighters.
.
.

 Build and blend your way to an irresistible… https://t.co/dItzyaTPnj",2019
